"event","experiment time","system time","system time text"
"START",0.000000000E0,1753088576.284,"2025-07-21 11:02:56.284 UTC+02:00"
"PAUSE",9.740441065E1,1753088673.688,"2025-07-21 11:04:33.688 UTC+02:00"
