"event","experiment time","system time","system time text"
"START",0.000000000E0,1753088809.164,"2025-07-21 11:06:49.164 UTC+02:00"
"PAUSE",1.028801093E2,1753088912.044,"2025-07-21 11:08:32.044 UTC+02:00"
