"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.366097020E-1,-1.064671576E-1,8.150760531E-1,9.615488052E0
2.391299650E-1,-1.063175201E-1,8.376713395E-1,9.604564667E0
2.416254890E-1,-9.180267155E-2,8.641571999E-1,9.637933731E0
2.440943610E-1,-7.975684106E-2,8.857797980E-1,9.674894333E0
2.466137290E-1,-9.277531505E-2,8.981249332E-1,9.727342606E0
2.491035980E-1,-9.748890251E-2,9.139865041E-1,9.782184601E0
2.516044520E-1,-8.903437853E-2,9.214683771E-1,9.839495659E0
2.541000570E-1,-9.487023950E-2,9.454103708E-1,9.846603394E0
2.565941170E-1,-1.092354506E-1,9.359832406E-1,9.860894203E0
2.590819100E-1,-1.128267571E-1,9.311199784E-1,9.847800255E0
2.615590830E-1,-8.065467328E-2,9.296236038E-1,9.809642792E0
2.640790610E-1,-6.995557994E-2,9.172785282E-1,9.718737602E0
2.665747490E-1,-9.045593441E-2,8.881739974E-1,9.632845879E0
2.690688490E-1,-9.531915188E-2,8.758289218E-1,9.561244011E0
2.715396330E-1,-1.192611754E-1,8.624363542E-1,9.508721352E0
2.740335290E-1,-1.325041056E-1,8.442553878E-1,9.453879356E0
2.765380460E-1,-1.422305405E-1,8.166472316E-1,9.426495552E0
2.790355640E-1,-1.674444824E-1,7.986907363E-1,9.407417297E0
2.815183110E-1,-1.854758114E-1,7.831284404E-1,9.389534950E0
2.840158700E-1,-1.476923227E-1,7.232733965E-1,9.387515068E0
2.865092780E-1,-4.444237053E-2,6.331167221E-1,9.347487450E0
2.890287280E-1,-3.516483679E-2,5.890484452E-1,9.372850418E0
2.915235200E-1,-7.564181089E-2,6.083517075E-1,9.378611565E0
2.940181490E-1,-1.148468629E-1,6.311714053E-1,9.385644913E0
2.964878750E-1,-1.456722170E-1,6.682815552E-1,9.375843048E0
2.990146900E-1,-1.740285307E-1,7.066636086E-1,9.387590408E0
3.015021580E-1,-1.833060682E-1,7.438485622E-1,9.408838272E0
3.039987390E-1,-1.711106002E-1,7.859715223E-1,9.473182678E0
3.064676520E-1,-1.232265681E-1,8.112602830E-1,9.528100014E0
3.089630140E-1,-5.289689451E-2,7.941267490E-1,9.504382133E0
3.114831950E-1,4.055179283E-2,8.489689827E-1,9.538873672E0
3.139804700E-1,5.858312175E-2,8.684966564E-1,9.610475540E0
3.164732270E-1,5.731120333E-2,8.532336354E-1,9.657162666E0
3.189422200E-1,3.097498417E-2,8.470984697E-1,9.618929863E0
3.214626880E-1,4.047697410E-2,8.373720646E-1,9.595062256E0
3.239581720E-1,8.379706182E-3,8.488941193E-1,9.500640869E0
3.264283870E-1,2.379237860E-2,8.342296481E-1,9.454104424E0
3.289470630E-1,-1.197100803E-2,8.412626386E-1,9.416994095E0
3.314056000E-1,8.304887451E-3,8.435820341E-1,9.418265343E0
3.339372980E-1,-3.815758973E-3,8.081178665E-1,9.468544006E0
