"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.316449790E-1,-1.461213678E-1,8.603407443E-2,-5.639012158E-2
2.341305350E-1,-1.514839232E-1,5.364222825E-2,-5.865505338E-2
2.366097020E-1,-1.531826109E-1,2.576358989E-2,-6.068683043E-2
2.391299650E-1,-1.542151570E-1,-1.199081191E-3,-6.418415159E-2
2.416254890E-1,-1.537654996E-1,-2.589682117E-2,-6.450057030E-2
2.440943610E-1,-1.514006555E-1,-4.726378247E-2,-6.403426081E-2
2.466137290E-1,-1.499850601E-1,-6.916366518E-2,-6.503349543E-2
2.491035980E-1,-1.433068514E-1,-8.641710877E-2,-6.271860749E-2
2.516044520E-1,-1.337141991E-1,-1.042534411E-1,-6.293510646E-2
2.541000570E-1,-1.227392778E-1,-1.187423393E-1,-6.116979197E-2
2.565941170E-1,-1.127136275E-1,-1.334810406E-1,-5.569065735E-2
2.590819100E-1,-1.011724696E-1,-1.443560421E-1,-5.260968581E-2
2.615590830E-1,-8.884858340E-2,-1.563301980E-1,-5.059456453E-2
2.640790610E-1,-7.759054005E-2,-1.680212468E-1,-4.658097029E-2
2.665747490E-1,-7.072913647E-2,-1.796789765E-1,-4.494889081E-2
2.690688490E-1,-6.511677057E-2,-1.946508437E-1,-4.265065119E-2
2.715396330E-1,-6.188591197E-2,-2.094894648E-1,-4.035241157E-2
2.740335290E-1,-6.057025120E-2,-2.264431417E-1,-3.885355964E-2
2.765380460E-1,-6.108652428E-2,-2.405823022E-1,-3.933652490E-2
2.790355640E-1,-6.306833774E-2,-2.544383705E-1,-3.690505400E-2
2.815183110E-1,-6.423410773E-2,-2.660294771E-1,-3.513973951E-2
2.840158700E-1,-6.711523980E-2,-2.748060822E-1,-3.472338989E-2
2.865092780E-1,-7.119544595E-2,-2.829165459E-1,-3.535623848E-2
2.890287280E-1,-7.722415775E-2,-2.847484648E-1,-3.971956298E-2
2.915235200E-1,-8.430206776E-2,-2.847151458E-1,-4.223430157E-2
2.940181490E-1,-9.121343493E-2,-2.802519202E-1,-4.238418862E-2
2.964878750E-1,-9.580991417E-2,-2.705926597E-1,-4.081872106E-2
2.990146900E-1,-1.053692549E-1,-2.647637725E-1,-3.687174618E-2
3.015021580E-1,-1.168937609E-1,-2.529228628E-1,-3.212538362E-2
